FSC-A,FSC-H,SSC-A,FITC-A,PE-A,PerCP-Cy5.5-A,PE-Cy7-A,APC-A,APC-R700-A,APC-Cy7-A,V450-A,V500-C-A,Population
74934,41902,84339,496,31752,325,70,2167,37,86,194,6170,Segmented Neutrophils
19971,14289,5537,9381,-120,51,27,141,22,1430,8619,1099,B Cell Precursors
87023,58607,38595,2781,7379,72,-12,2451,874,-68,4543,3739,Monoblasts and Promonocytes
51167,30917,9803,7998,-30,217,131,26,7,2900,17604,1601,B Cell Precursors
80755,64349,13023,3648,86,676,280,-18,191,177,5672,13873,T and NK Cells
69074,49880,18125,5111,14276,322,288,653,26,79,164,3437,Basophils
42787,27932,14677,10216,285,1604,1961,5567,14,90,4665,1437,Residual Leukemic Cells
61339,36303,28944,3855,7056,15123,13326,4934,17,-177,87945,5491,Normal Myeloid Precursors
91662,54885,33045,1549,284,285,106,40,28,-22,268,1023,Erythroid Precursors
98870,67068,54049,501,22117,738,46,886,-12,-35,514,3687,Segmented Neutrophils
126436,81550,129944,2024,3558,1848,202,104,80,10,2286,5642,Eosinophils
33714,25456,4922,11762,-74,89,39,-14,33,2085,4974,1916,B Cell Precursors
113707,71246,107512,1328,7682,273,288,2162,90,70,166,1256,Segmented Neutrophils
61443,44907,33381,5548,670,48820,9219,817,65,-148,30269,1346,Residual Leukemic Cells
71362,56329,16638,265,-53,1,-32,-52,41,95,23,6897,T and NK Cells
75004,37779,70720,13800,49038,-916,995,4390,182,109,2328,1503,Promyelocytes
101758,67454,92130,859,5193,329,67,1038,26,23,143,1465,Segmented Neutrophils
48538,40567,7371,170,65,163,24,0,22,-56,188,212,Erythroid Cells
76274,42660,57002,7030,5588,214,12,14666,1761,532,42446,3804,Monoblasts and Promonocytes
117754,71336,79322,942,536,102,119,833,40,-39,409,1786,"Myelocyte, Metamyelocytes and Band Cells"
66459,43585,20921,5207,5542,-239,14,742,39,24,88,2584,Basophils
69921,52900,19101,14254,13889,328,222,1833,75,96,135,3355,Basophils
35519,25491,12748,78981,-123,-277,181,-13,119,704,542,1724,Plasma Cells
94404,52189,55973,20554,13221,806,987,6177,-19,12,995,1232,Promyelocytes
71125,43937,26115,1946,100,282,80,451,-14,2,5401,5912,Plasmacytoid Dendritic Cells
42777,31941,5965,538,26,77,97,53,77,1028,6657,2221,Mature B Cells
131027,82073,224005,1440,8450,1387,107,1673,327,208,1713,4928,Eosinophils
93875,65489,28862,1125,83,50187,8268,534,4968,213,55735,1766,Residual Leukemic Cells
97535,59131,38261,5222,5876,19121,8050,3555,-763,-18,47694,1151,Normal Myeloid Precursors
49668,38612,6670,109,114,53,77,-27,8,-27,51,128,Erythroid Cells
87512,58557,35579,66682,451,358,52,104,80,1170,370,1789,Plasma Cells
32517,23062,5977,1282,20,23,-52,-11,14,982,7513,3618,Mature B Cells
176336,101686,167960,6355,2941,684,681,5784,-14,-178,442,2582,Promyelocytes
70651,52589,26789,15135,6164,-76,856,3068,-82,60,121,2837,Basophils
127282,77358,129383,892,5941,286,43,883,9,81,132,1141,Segmented Neutrophils
139018,103812,158263,2548,4850,2653,163,332,139,55,2057,7022,Eosinophils
118564,70274,55668,199833,1219,1213,112,164,294,5313,403,5185,Plasma Cells
59503,36759,16870,4779,312,449,-36,1280,35,-20,2205,3142,Plasmacytoid Dendritic Cells
54428,28344,55749,3059,4137,22293,3733,3571,-1472,-214,15723,1678,Normal Myeloid Precursors
117305,69151,33588,4351,8942,11,122,10828,-321,81,1345,3711,Mature Monocytes
84452,47466,37723,1306,103,169,952,5,16,26,191,444,Erythroid Precursors
62566,43553,16625,1283,-7,93,31,-8,69,456,18286,5389,B Cell Precursors
42580,31298,3767,10,40,3,-22,71,-40,18,39,9,Erythroid Cells
28638,19210,11719,10216,61,429,234,51,42,-8,9003,1467,Plasmacytoid Dendritic Cells
71129,50998,16640,603,103,68,-8,0,-33,41,2989,7513,T and NK Cells
50123,40817,8551,231,52,215,-36,-6,44,-20,120,103,Erythroid Cells
143384,86478,176414,812,5393,401,218,865,332,-30,2142,6697,Eosinophils
51680,34821,16002,2241,166,147,185,150,16,-52,9681,2955,Plasmacytoid Dendritic Cells
58684,34842,20174,4588,806,450,-12,1997,41,2,17811,2842,Plasmacytoid Dendritic Cells
52937,37917,11984,2440,792,881,40984,756,-31,384,-56,850,Mast Cells
63198,45430,9365,264,13,43,36,-8,18,32,3,208,Erythroid Cells
187472,91310,129870,3964,704,762,-82,10112,-58,19,99,4624,"Myelocyte, Metamyelocytes and Band Cells"
138530,83191,96691,876,7217,524,371,1304,280,73,233,1207,Segmented Neutrophils
159396,103939,216900,1322,10578,626,362,181,36,87,769,6235,Eosinophils
96997,57520,41952,5382,100,931,6164,59,-22,-212,2086,1503,Erythroid Precursors
150115,82683,141031,7930,8404,272,1146,4538,195,224,481,2411,Promyelocytes
188208,107435,58401,2277,112,263,2071,132,11,-44,524,655,Erythroid Precursors
79390,52522,23648,2123,270,843,7364,120,-11,-79,974,584,Erythroid Precursors
60671,46610,12617,3180,63,6,-5,7,-24,-37,1074,14744,T and NK Cells
69905,51545,13701,1451,-5,79,271,72,18,1829,4750,7382,Mature B Cells
51685,24271,55577,4865,13275,-367,451,1880,30,146,224,956,Promyelocytes
157518,100137,206175,2808,6793,2224,96,1161,17,99,2102,6222,Eosinophils
55020,32962,38727,3843,21166,237,2874,3288,-94,355,613,918,Promyelocytes
190719,110272,127564,1665,717,865,199,2696,172,152,871,1454,"Myelocyte, Metamyelocytes and Band Cells"
87508,63918,20945,17029,2109,167,-63,2461,-60,-30,120,1106,Basophils
128663,78638,104186,1128,5057,581,53,2239,104,59,207,1347,Segmented Neutrophils
63398,45449,43010,3599,8203,439,-189,3157,-84,167,10033,7855,Mature Monocytes
133587,86962,251356,1549,6780,1572,-8,3283,362,385,1328,6370,Eosinophils
63483,38880,23641,87171,65,-9,79,49,395,33,84,-661,Plasma Cells
16401,11948,2911,8902,2,122,45,31,13,956,21520,2140,B Cell Precursors
100541,61632,44747,13958,97,2299,2819,428,42,75,10571,1366,Erythroid Precursors
44666,32733,16253,1635,90,541,177,-46,-6,4332,80143,8967,Mast Cells
54507,37919,17488,8029,879,7473,563,1038,-19,29,14690,1244,Plasmacytoid Dendritic Cells
85409,59922,24627,4020,6429,199,-9,4164,134,141,1919,3176,Mature Monocytes
96944,59878,55815,40745,722,299,72,2430,67,355,680,421,Plasma Cells
161395,94282,66880,1301,493,524,669,54,90,59,413,920,Erythroid Precursors
81168,50793,82233,3203,11834,227,3083,3941,55,138,543,2028,Promyelocytes
32732,22202,11030,5247,1916,241,2369,238,55,-113,74,590,Mast Cells
59946,38899,26105,555,4789,155,33,1784,18,-54,186,5418,Segmented Neutrophils
94207,67146,44178,4101,36284,5765,18217,368,2519,-334,83203,757,Promyelocytes
73681,43141,53184,6599,22535,907,4501,2413,6,-63,118,1026,Promyelocytes
185257,109159,52700,3122,7272,286,154098,11220,621,-919,1772,1987,Mast Cells
47975,31959,15087,5866,170,3250,-214,237,192,2088,24066,2153,B Cell Precursors
69638,47526,14777,8385,1227,865,507,376,-14,-34,-60,1726,Basophils
101075,57234,76033,4178,10107,537,291,6536,148,-92,699,2395,Promyelocytes
99865,57746,33942,3472,10001,17466,14274,3782,-104,-84,30493,809,Normal Myeloid Precursors
93904,56984,107781,765,1688,197,100,292,35,-35,43,1468,Segmented Neutrophils
111581,72094,66067,1304,275,180,63,2425,-24,156,147,409,"Myelocyte, Metamyelocytes and Band Cells"
44057,30155,14429,285,42,123,273,59,-40,5248,9636,4321,Mature B Cells
127543,81051,112635,1124,12022,295,182,684,83,14,564,2122,Segmented Neutrophils
66815,42418,34649,5414,7286,-481,209,5596,145,-103,2719,3260,Mature Monocytes
49131,27138,41962,4858,9736,219,86,13022,-14,32,3171,5318,Mature Monocytes
113443,65155,37641,2288,421,274,3312,78,17,44,550,930,Erythroid Precursors
148940,92156,101064,5919,29476,405,2644,3727,31,23,432,646,Promyelocytes
42558,34628,8381,134,36,107,12,20,-31,-3,65,87,Erythroid Cells
151294,91381,172278,963,6337,1027,-93,541,140,34,1262,7502,Eosinophils
84760,50256,77439,6739,4722,-38,104165,8819,2590,-458,683,1940,Mast Cells
89651,55264,44444,6744,1252,1158,519,10781,-167,44,49317,2784,Monoblasts and Promonocytes
82120,56208,24665,4199,424,22,191166,7464,-53,204,-350,1634,Mast Cells
51903,33478,23856,1583,773,109,46,488,372,-77,2462,819,Monoblasts and Promonocytes
75405,41497,25500,66799,-364,99,-17,-37,16,1323,53,1748,Plasma Cells
43366,32951,14109,1710,30,177,35,34,-20,3146,22600,9611,Mature B Cells
92627,56200,55822,2083,13893,-114,123,10084,-299,148,1449,4243,Mature Monocytes
132100,82919,75334,490,1108,657,51186,16764,610,895,552,1828,Mast Cells
120245,81164,32693,74249,931,198,48,56,7,2012,454,1811,Plasma Cells
95821,48223,75921,8156,2908,485,-50,15045,-10,256,2335,8717,Mature Monocytes
55781,27065,25353,3950,282,338,945,38,75,-46,259,895,Erythroid Precursors
81330,52145,19975,1243,52,166,24,76,-12,-16,8318,4543,Plasmacytoid Dendritic Cells
72883,46268,26967,2887,5279,33,-58,610,61,-7,855,1607,Mature Monocytes
84069,42509,67165,650,8319,999,163,1265,49,270,345,3015,Segmented Neutrophils
68372,45525,21893,8153,615,5415,707,225,-21,-34,6690,855,B Cell Precursors
42766,35971,8502,147,71,94,-37,60,1,14,-46,96,Erythroid Cells
87336,50760,41663,5266,425,2567,339,8148,-288,95,49965,2511,Monoblasts and Promonocytes
131837,82648,128218,756,13718,163,127,2014,82,77,273,3203,Segmented Neutrophils
53297,41333,11374,565,10,220,25,45,9,5721,14467,7289,Mast Cells
63048,42536,25962,1416,112,92,-39,117,28,-49,23667,4007,Plasmacytoid Dendritic Cells
179659,123467,193900,1661,2508,653,60,729,28,13,1080,4563,Eosinophils
36496,23998,29790,3183,4133,8322,5520,2366,-584,-195,10071,886,Normal Myeloid Precursors
33619,26169,6479,2368,30,132,-41,26,8,619,969,1480,B Cell Precursors
138455,71142,34250,153809,-346,376,310,-10,14,1778,202,5240,Plasma Cells
56066,37384,16091,400,421,1345,18858,7445,3166,366,2043,736,Mast Cells
79619,48756,30091,5147,1641,231,51,4404,158,101,5062,1669,Mature Monocytes
160672,99890,188885,1874,1714,1402,204,2330,116,195,2316,6296,Eosinophils
101184,62661,35712,5586,751,445,-66,8776,186,-81,17687,2561,Monoblasts and Promonocytes
170761,109192,222735,1700,2182,834,-15,1045,98,112,1060,2723,Eosinophils
43163,31538,10885,1189,14,52,-1,36,41,1294,40440,4287,Mature B Cells
122804,81918,67616,7099,68847,1382,446,7313,179,211,2705,4643,Mature Monocytes
33864,23955,11331,1644,3,238,-78,-38,18,1470,64176,6537,Mast Cells
36684,24507,4869,123,39,25,-14,-10,13,28,-9,12,Erythroid Cells
43160,30318,19892,5778,62,2068,61,709,69,-49,42932,4168,Residual Leukemic Cells
24994,15737,8887,846,13,104,37,1,184,258,191,4159,T and NK Cells
77685,51175,26627,18675,10352,2157,244,8229,145,97,983,965,Basophils
37449,22278,15267,9297,2615,10792,2377,1329,14,20,11990,1367,Normal Myeloid Precursors
44286,35190,7734,163,88,79,0,-32,-22,-31,23,38,Erythroid Cells
121360,76286,67939,3868,5861,687,-54,6027,3204,100,7252,6411,Monoblasts and Promonocytes
33984,21958,12431,2868,1386,4339,1032,1758,-93,-288,4379,1126,Normal Myeloid Precursors
118587,79059,114054,1221,5263,1341,-1,791,65,26,1061,8221,Eosinophils
81625,50746,80614,6813,12049,36,451,5380,169,80,231,683,Promyelocytes
46808,32892,9571,11166,36,283,81,12,10,2276,10866,3106,B Cell Precursors
106964,70531,49127,1103,141,126,-24,2658,-4,20,231,951,"Myelocyte, Metamyelocytes and Band Cells"
32724,22146,10010,470,19,-5,226,90,-5,3137,19259,6658,Mast Cells
41960,29564,9478,191,74,171,-73,71,-53,30,124,3648,T and NK Cells
25593,19346,9212,468,82,315,-4,28,11,38,133,135,Erythroid Cells
41641,29899,12076,518,10,256,-72,-45,-10,2421,61994,4880,Mast Cells
41418,26183,11348,1136,75,234,-75,265,-40,80,10183,1161,Plasmacytoid Dendritic Cells
32062,26019,7966,200,22,162,-7,18,86,-24,136,112,Erythroid Cells
84894,51879,23107,3678,214,108,-12,44,-30,74,14806,4331,Plasmacytoid Dendritic Cells
60410,36571,26865,1600,131,24,3669,69,33,41,620,496,Erythroid Precursors
118999,79063,15329,61188,27,1311,366,-36,186,1042,398,3148,Plasma Cells
58999,44706,13820,1452,36,-30,-32,-20,36,1583,24183,4262,Mature B Cells
73725,45999,31368,15870,15044,12087,24395,1746,152,-215,10709,1775,Residual Leukemic Cells
45966,36110,13398,327,26,38,34,42,-21,2780,4149,4903,Mature B Cells
59473,37152,25535,6914,199,2103,1089,9,18,37,2679,686,Erythroid Precursors
73026,59021,12269,204,43,22,18,0,12,15,57,11803,T and NK Cells
100942,63695,74269,566,5156,214,-19,494,152,-65,95,1528,Segmented Neutrophils
85546,51964,29857,1046,5275,206,193,7484,204,71,9148,2874,Mature Monocytes
70067,46632,20779,1000,6297,13538,6042,277,96,-200,12083,613,Residual Leukemic Cells
188783,108882,101075,2405,335,524,177,3929,153,112,924,3087,"Myelocyte, Metamyelocytes and Band Cells"
69424,51355,9553,78,69,83,-30,-38,0,33,1094,2722,T and NK Cells
163461,98479,201879,999,8966,323,145,666,113,7,1382,9206,Eosinophils
71575,43827,81008,4906,1238,1964,81737,19663,1172,1457,37,1811,Mast Cells
84686,53818,76343,6157,4148,611,986,4229,82,51,491,1943,Promyelocytes
63581,45787,12020,12036,73,3184,480,59,33,3139,16856,823,B Cell Precursors
59281,39693,26388,8062,17682,7339,15366,1529,119,35,18032,769,Residual Leukemic Cells
78678,46004,27887,53747,296,193,51,41,46,214,422,2069,Plasma Cells
119343,69835,62460,794,3156,251,73,2815,58,118,406,1507,"Myelocyte, Metamyelocytes and Band Cells"
34178,24455,9713,620,-1,175,43,26,11,2273,19170,9945,Mast Cells
20441,14903,3455,75,-8,14,16,73,11,-5,-3,-10,Erythroid Cells
110186,78107,35564,169549,1372,393,142,40,-14,3604,347,1218,Plasma Cells
73542,57645,14586,336,100,122,-32,18,10,21,-63,9223,T and NK Cells
58043,40277,16216,6583,7717,8,269,3712,124,79,83,2070,Basophils
22856,15859,8252,183,36,172,-25,9,15,-11,-15,339,Erythroid Cells
49313,32794,14134,774,56,-56,30,33,2828,44,198,4323,T and NK Cells
20122,13848,3634,31,0,74,-26,30,-7,19,21,-52,Erythroid Cells
57932,41342,12149,1167,74,371,-7,259,0,880,20268,7035,Mature B Cells
46492,32299,15153,822,25,46,64,-48,6,12068,21833,10546,Mast Cells
53957,33823,17170,5812,20186,319,82,2127,58,29,267,3403,Basophils
66196,46380,32717,5500,895,174,43,4367,113,17,17289,2015,Monoblasts and Promonocytes
110771,67094,82425,9124,37506,747,2351,2125,134,-86,1215,1201,Promyelocytes
98295,81526,12721,793,163,71,-37,104,11,15,1578,353,Erythroid Cells
59911,43877,14077,811,67,226,-48,23,-14,875,11504,8228,Mature B Cells
54504,39326,13672,5014,77,96,-23,-21,11,808,29164,8595,Mature B Cells
160328,98831,104416,1699,240,553,22,2479,158,-27,355,817,"Myelocyte, Metamyelocytes and Band Cells"
119800,60924,39041,160346,-825,-105,120,8,74,1462,235,1687,Plasma Cells
84378,49020,46858,4963,1040,232,5,10212,18,104,5966,1174,Monoblasts and Promonocytes
78413,57026,35005,2831,2871,-56,164732,11629,-12,216,-75,1871,Mast Cells
157499,103291,140327,1081,1741,1479,168,459,326,96,1077,3408,Eosinophils
43783,32408,10590,-6,15,137,33,-45,0,3807,18819,7504,Mast Cells
134584,86055,161679,1090,6884,1235,-62,195,211,139,1251,7821,Eosinophils
95206,59989,33355,65367,453,311,-54,-48,55,1605,182,2800,Plasma Cells
92429,59502,32125,2634,2302,3522,1471,11211,30,117,109803,2715,Monoblasts and Promonocytes
107840,72124,93591,924,14431,-124,-37,1417,72,102,103,2295,Segmented Neutrophils
95509,55226,54577,13151,21920,620,131,13376,91,163,6302,11843,Mature Monocytes
47066,29811,18213,3818,5325,13393,11197,1715,54,-152,11681,784,Normal Myeloid Precursors
60436,42004,11688,5311,63,-28,139,16,-24,1833,13245,6614,Mature B Cells
147215,98791,185314,2391,5149,1892,155,256,69,141,1717,6034,Eosinophils
132476,84898,83932,1010,2432,60,69,913,7,14,2011,1234,Segmented Neutrophils
55889,36264,41556,332,355,255,-30,2116,105,240,161,1257,"Myelocyte, Metamyelocytes and Band Cells"
128400,79324,135160,1015,31079,583,-60,3045,195,107,900,6184,Segmented Neutrophils
20916,15072,3611,94,-6,80,19,19,-5,-3,36,119,Erythroid Cells
61992,51974,5048,100,-15,56,-39,-30,21,58,-37,95,Erythroid Cells
45105,32922,8525,2288,136,72,50,-31,26,-25,4,6960,T and NK Cells
47977,35023,9315,16362,8,96,-35,-31,41,2823,12769,4751,B Cell Precursors
103466,67024,102674,10796,15344,798,6218,6327,190,157,1346,2459,Promyelocytes
76418,50376,29432,12930,324,7279,2333,2167,80,15,30402,2777,Plasmacytoid Dendritic Cells
47217,32545,10210,9505,40,3918,-113,1,-7,677,15595,1394,B Cell Precursors
53372,41177,10596,277,30,122,30,22,-7,-19,87,119,Erythroid Cells
80769,51811,77318,1007,20379,768,-208,1206,10,86,1086,8636,Segmented Neutrophils
86408,58840,35515,3231,3867,260,79,5256,-272,67,8638,4802,Mature Monocytes
96563,65582,48113,9975,5128,301,1688,4757,-124,41,716,1385,Promyelocytes
73451,49477,24874,4664,3724,-58,231,2162,-37,-35,364,2145,Basophils
87373,60634,41528,2518,442,127,94,11370,-45,104,21690,7248,Monoblasts and Promonocytes
87277,53703,28198,80908,-526,316,-65,-26,-2,136,15597,5227,Plasma Cells
33203,26661,7092,8880,-64,62,27,15,18,3463,5981,2052,B Cell Precursors
69690,55971,14926,3073,24,16,54,-9,-8,20,456,11856,T and NK Cells
76343,53269,50330,4671,4985,21429,5045,1337,-1360,-105,10615,901,Normal Myeloid Precursors
42240,30731,11965,16474,81,95,92,-20,29,4260,6517,3315,B Cell Precursors
48360,31103,18200,19963,4947,21,1888,2194,18,85,75,2060,Basophils
65932,51343,11302,157,-15,48,17,56,-25,82,1014,7318,T and NK Cells
62502,41400,16500,3635,4889,336,86,3474,-66,72,138,2467,Basophils
111568,70960,25431,11971,938,12014,2421,1220,-2,3,99286,2848,Plasmacytoid Dendritic Cells
100151,59643,101014,11406,21818,311,4037,7440,-5,245,1199,2029,Promyelocytes
35031,27006,7080,108,25,136,46,4,-43,-3,23,106,Erythroid Cells
131756,81818,82031,1052,767,282,17,3089,187,86,167,739,"Myelocyte, Metamyelocytes and Band Cells"
70847,51873,36061,309,2289,18,116771,19759,-87,-227,-3,1861,Mast Cells
29185,20668,6378,661,75,-41,17,-11,83,1837,3828,3243,Mature B Cells
82942,53177,29388,7437,10586,27564,5545,5806,-386,143,53714,2593,Normal Myeloid Precursors
72504,47498,28911,3379,14566,-45,148,10318,187,436,4504,5545,Mature Monocytes
39228,28698,9253,79,-33,66,1,-1,3,4314,11924,4747,Mast Cells
39516,23131,12149,13524,6305,909,5278,394,187,-175,2114,938,Residual Leukemic Cells
122258,79953,125060,1078,9786,403,6,2347,51,151,276,4305,Segmented Neutrophils
25523,18802,7964,9629,-10,104,-94,43,-21,1813,5540,1783,B Cell Precursors
39427,28793,8322,661,3,-17,-26,-38,86,3114,7115,6010,Mature B Cells
80708,43724,84246,835,6791,506,-53,1389,83,93,241,5219,Segmented Neutrophils
36778,27311,6724,8360,108,125,3,24,38,1712,2280,2911,B Cell Precursors
94161,56323,24782,35519,-101,103,118,71,2375,-72,8647,3766,Plasma Cells
147647,81711,262143,2088,903,1560,-112,2005,261,207,1545,8625,Eosinophils
75519,48769,37012,1192,22,108,-38,689,26,20,116,761,"Myelocyte, Metamyelocytes and Band Cells"
69786,51140,21863,12544,1391,-22,171,503,451,11,34,3716,Residual Leukemic Cells
100889,65816,39880,5056,523,-66,37,10588,130,-101,3979,1848,Monoblasts and Promonocytes
149232,77673,55442,892,165,285,2455,36,65,57,328,599,Erythroid Precursors
114984,72649,122328,655,24265,-21,203,1852,55,96,162,4404,Segmented Neutrophils
78857,54183,41272,2877,893,156,55,7156,-26,167,1017,1667,Mature Monocytes
48080,34769,9082,625,649,241,11214,0,119,-258,-35,180,Mast Cells
80375,47212,32813,7888,58368,-1227,353,7974,76,-8,2694,2258,Residual Leukemic Cells
43571,30881,9248,334,119,36,17,4,36,0,20,2879,T and NK Cells
140496,87398,123122,775,8206,415,128,697,174,-43,728,7425,Eosinophils
56435,38693,15756,11580,51,1739,-26,1765,-18,22,3649,1996,Plasmacytoid Dendritic Cells
113518,76387,65860,840,118,336,0,390,715,102,345,436,"Myelocyte, Metamyelocytes and Band Cells"
58282,44074,14897,669,-29,317,103,31,48,2894,62874,8595,Mature B Cells
56758,38134,22564,35703,-61,99,153,41,42,1685,30366,8649,Plasma Cells
167359,84767,156151,12616,43802,1115,2542,1540,134,-123,195,1167,Promyelocytes
63508,48453,14562,258,86,119,-75,49,-17,72,357,8173,T and NK Cells
79645,47246,33299,59101,70,354,-10,17,10,706,3759,2297,Plasma Cells
59500,47556,15938,3358,5003,25,80,421,3,22,-105,932,Basophils
57924,37492,23225,8132,2862,19569,5121,4183,582,93,16240,2175,Normal Myeloid Precursors
181205,105549,118033,1697,240,530,86,1577,176,50,554,725,"Myelocyte, Metamyelocytes and Band Cells"
124600,83614,47842,3050,290,150,4767,8,51,-76,4441,530,Erythroid Precursors
86981,57718,76847,633,6543,238,129,814,67,72,349,3114,"Myelocyte, Metamyelocytes and Band Cells"
37493,26773,5389,131,85,41,81,-24,17,-29,-31,137,Erythroid Cells
158457,91617,49208,15563,241,7987,9592,433,-9,-223,43469,2195,Erythroid Precursors
72246,45300,38599,3675,645,6007,2934,5770,-9,-230,167124,4027,Plasmacytoid Dendritic Cells
127970,76651,89879,746,500,360,-17,1072,42,47,229,1463,"Myelocyte, Metamyelocytes and Band Cells"
94282,61265,116026,881,10952,747,-37,850,73,98,181,3521,Segmented Neutrophils
56015,38814,14061,11914,51,2058,-121,807,-82,-55,2881,2279,Plasmacytoid Dendritic Cells
54769,35941,18993,9776,353,3258,4510,430,52,-162,3707,1624,Erythroid Precursors
116776,71070,36096,3522,143,536,429,10958,738,345,13433,4230,Monoblasts and Promonocytes
85112,52162,27610,9914,303,892,964,4670,70,-178,30604,2184,Plasmacytoid Dendritic Cells
60428,44400,6873,137,63,-49,23,12,38,-76,2003,3830,T and NK Cells
56756,33896,21140,7699,968,13014,1197,3342,64,5,10104,735,Residual Leukemic Cells
50881,35246,11907,3776,400,713,-6,-51,8,-12,1483,950,Plasmacytoid Dendritic Cells
76480,49447,38999,3147,5357,-80,17,1059,-38,-22,597,2025,Mature Monocytes
106979,55742,61761,7430,65562,-185,5736,3977,-60,-88,2327,802,Promyelocytes
96221,52580,41449,10369,171,250,173,8105,80,154,2338,6659,Monoblasts and Promonocytes
23509,18785,5558,95,51,87,-15,-37,1,12,67,86,Erythroid Cells
38633,31391,7499,92,-21,87,58,29,9,27,97,120,Erythroid Cells
150590,90440,206609,931,13569,824,-66,751,37,107,1642,11634,Eosinophils
118755,71292,46581,2134,3423,1023,8680,7614,-37,77,23952,1301,Residual Leukemic Cells
71973,53054,12917,249,329,163,44,49,-36,20,1216,9670,T and NK Cells
85246,52390,20620,2423,188,5859,518,2337,-4,-63,70601,2657,Plasmacytoid Dendritic Cells
92434,60653,18615,3564,62,181,10,74,-37,8,4270,2514,Plasmacytoid Dendritic Cells
79500,47495,68487,2733,6604,102,721,1713,102,48,167,1087,Promyelocytes
41167,18835,47384,3534,1885,114,897,984,28,-10,305,618,Promyelocytes
117059,73269,117352,1157,5753,516,-27,1685,111,203,278,3379,"Myelocyte, Metamyelocytes and Band Cells"
50343,35012,28479,3568,2777,0,127,381,14,15,109,3146,Basophils
34421,24267,13321,1360,57,138,-4,4,15,29,499,8879,T and NK Cells
89999,64013,31903,9411,224,2075,13906,1034,92,274,14333,2524,Erythroid Precursors
66432,37052,32907,3805,8223,10968,14055,3575,57,107,32804,1238,Normal Myeloid Precursors
56612,35912,38080,24223,6602,391,488,3423,33,85,177,4125,Basophils
60593,44719,15185,1691,4,24,50,18,39,1683,91556,13328,Mature B Cells
122176,72767,93748,747,2830,189,13,814,125,60,310,2429,"Myelocyte, Metamyelocytes and Band Cells"
66653,50021,15263,4846,22,51,59,-49,21,1122,10828,7300,Mature B Cells
49927,30506,21588,8300,5021,22725,13010,2846,141,147,2749,1004,Residual Leukemic Cells
114421,81313,94609,5657,2118,668,6,6227,-14,111,488,1172,Promyelocytes
59728,33465,29330,3505,2205,11658,6912,3265,-115,-44,7279,978,Normal Myeloid Precursors
85250,57022,26315,4509,2766,494,273,2328,29,-32,2733,1224,Mature Monocytes
120027,72764,82040,13082,7995,32302,1632,10343,-2189,-454,80394,2857,Normal Myeloid Precursors
56713,39107,33491,5743,1523,190,126,4159,-78,143,138,956,Promyelocytes
57694,40344,16481,9102,1230,639,1136,4102,-114,201,158,2165,Basophils
61360,48127,12918,3449,5038,-108,48,1039,47,80,1021,2801,Basophils
81058,49201,19322,42911,-146,430,219,27,112,1024,12501,6705,Plasma Cells
37441,24992,8281,208,68,185,-21,-28,-27,-24,47,134,Erythroid Cells
112460,70063,45125,971,292,232,3355,122,3,-35,510,463,Erythroid Precursors
57352,35254,57419,864,34815,700,302,1694,-5,-69,174,5096,Segmented Neutrophils
120595,77142,36273,98282,1912,4205,75,109,98,3576,527,4648,Plasma Cells
45776,30519,8335,93,79,-43,-18,-12,450,-90,48,2191,T and NK Cells
76755,46489,30955,3404,155,20,1390,222,58,-66,344,731,Erythroid Precursors
142006,84442,44808,4412,9033,15115,12871,9049,71,-10,21648,1881,Normal Myeloid Precursors
83491,49398,99611,7246,18348,-18,937,6232,21,54,366,1254,Promyelocytes
58131,41735,10878,243,90,25,95,3,-3,48,93,69,Erythroid Cells
61362,37155,18667,7941,430,1313,-21,276,-16,59,6417,2803,Plasmacytoid Dendritic Cells
112656,63913,36785,4032,144,614,3923,32,-4,31,7656,603,Erythroid Precursors
145770,88068,105783,794,2426,706,-3,2291,-49,98,385,2182,"Myelocyte, Metamyelocytes and Band Cells"
221095,132904,260464,4140,2002,1081,140,1531,79,166,1545,8014,Eosinophils
33389,22062,10502,758,86,7,106,0,41,2536,22938,9321,Mast Cells
69598,43814,41993,2440,38649,1283,-74,11107,209,28,1199,6709,Mature Monocytes
80768,49492,36763,7756,20605,14623,12222,601,-20,-144,32354,1262,Normal Myeloid Precursors
68963,43446,25213,137797,230,781,139,7,25,23,249,4583,Plasma Cells
116024,77643,118464,771,2900,636,-44,1135,-17,-13,400,2772,Eosinophils
79537,50483,20154,3312,-94,26,40,1444,-18,-9,17261,4076,Plasmacytoid Dendritic Cells
124741,69098,45645,1306,173,224,1940,17,36,74,379,636,Erythroid Precursors
67701,53689,17398,1267,1,-21,42,45,24,-51,61,20591,T and NK Cells
166637,90708,139839,12264,55823,1960,1438,6289,10,203,667,5127,Residual Leukemic Cells
69819,36514,56193,5643,1884,676,13993,1534,2720,92,102238,3689,Residual Leukemic Cells
60177,32798,19906,1108,1365,10170,15779,7443,197,-308,15590,2039,Residual Leukemic Cells
80203,64684,25264,9833,233,285,23,2505,6,-16,59,3279,Basophils
142262,85564,173491,1033,6625,764,11,503,99,60,870,7581,Eosinophils
102150,54908,61732,3059,39383,512,214,5558,78,-25,30291,18894,Mature Monocytes
149550,85560,130739,687,3567,397,-74,1348,159,-11,363,1014,Segmented Neutrophils
127481,83775,48228,1070,277,458,58,518,82,55,325,1216,"Myelocyte, Metamyelocytes and Band Cells"
